Time (s);PKPK (V);RMS (V);Frequency (Hz)
1.740.505.705.045;6.48;1.51;ERROR
1.740.505.709.109;7.76;0.9221;168.66
1.740.505.712.761;1.28;0.3666;49.93
1.740.505.716.852;1.2;0.36639;50.1
1.740.505.721.673;1.2;0.36871;49.95
1.740.506.143.068;6.4;1.18;115.97
1.740.506.169.641;0.96;1.12;204.68
1.740.506.178.476;4.96;1.56;174.85
1.740.506.185.965;7.44;1.87;204.73
1.740.506.194.919;7.2;1.31;359.21
1.740.506.203.684;5.36;0.47602;46.13
1.740.506.238.783;4.64;ERROR;ERROR
1.740.506.246.142;4.4;1.06;149.98
1.740.506.255.181;5.44;0.76199;118.32
1.740.506.263.196;4.56;0.58351;50.24
1.740.506.281.659;4.16;0.48376;75.52
1.740.506.288.575;3.76;0.6336;80.78
1.740.506.293.125;4.4;1.13;188.8
1.740.506.548.614;4.16;0.10737;75.84
1.740.506.552.318;3.84;0.86624;67.21
1.740.506.556.800;4.4;0.38454;3910
1.740.506.560.974;3.28;ERROR;361.9
1.740.506.565.017;4.48;0.51711;61.52
1.740.506.579.579;4.24;0.53699;57.7
1.740.506.587.618;3.68;0.63347;298.38
1.740.506.596.467;4.08;0.81506;ERROR
1.740.506.605.092;4.56;0.70968;212.07
1.740.506.623.094;3.92;0.72224;94.4
1.740.506.627.513;3.44;0.65537;58.91
1.740.506.631.817;4.16;0.5493;149.87
1.740.506.636.047;4.24;1.18;152.77
1.740.506.639.909;3.84;0.6024;9130
1.740.506.650.988;3.84;1.14;185.52
1.740.506.655.308;4;ERROR;130.38
1.740.506.659.266;3.76;0.89485;286.98
1.740.506.663.368;3.52;0.75123;56.79
1.740.506.668.951;3.68;0.71865;114.38
1.740.506.683.403;4.32;1.7;ERROR
1.740.506.688.158;5.6;0.22678;330.65
1.740.506.693.404;3.84;0.77596;126.78
1.740.506.699.762;3.44;0.80062;76.06
1.740.506.704.339;4.16;0.57067;244.09
1.740.506.734.346;4.32;1.06;68330
1.740.506.740.438;4.48;0.41106;91.66
1.740.506.748.074;4.64;ERROR;55.6
1.740.506.754.987;4.08;0.89443;59.9
1.740.506.763.002;4.16;0.32605;146.04
1.740.506.772.946;4.08;0.32981;3900
1.740.506.780.611;4.64;0.60951;63.96
1.740.506.787.540;3.76;0.51389;49.99
1.740.506.795.750;4.24;0.65197;38.79
1.740.506.803.154;5.04;0.84229;132.13
1.740.506.826.328;4.16;0.58688;282.58
1.740.506.833.093;4.48;0.13282;140.28
1.740.506.839.279;4;0.3846;168.83
1.740.506.845.545;3.92;0.99306;107.56
1.740.506.852.958;4;0.71512;254.69
1.740.506.865.990;4.08;0.83928;147.39
1.740.506.871.384;3.68;0.50607;63320
1.740.506.875.849;4.24;0.33114;135.99
1.740.506.880.059;4.88;0.66263;117.87
1.740.506.884.044;4.08;ERROR;4570
